primaryTitle,StreamedOn,RentOrBuyOn,dateGathered
The Dark Knight,"Max, Netflix With Ads","Apple Tv, Microsoft, Prime Video, Vudu",2025-04-11
Inception,,"Apple Tv, Microsoft, Prime Video",2025-04-11
The Matrix,,"Apple Tv, Microsoft, Prime Video",2025-04-11
The Dark Knight Rises,"Max, Netflix With Ads, Roku","Apple Tv, Microsoft, Prime Video, Vudu",2025-04-11
Gladiator,"Directv Stream, Fubotv, Kanopy, Mgm+, Paramount+, Roku, Tvision","Apple Tv, Microsoft, Prime Video, Vudu",2025-04-11
Batman Begins,"Max, Netflix With Ads, Roku","Apple Tv, Microsoft, Prime Video, Vudu",2025-04-11
The Avengers,Disney+,"Apple Tv, Microsoft, Prime Video",2025-04-11
Star Wars: Episode IV - A New Hope,,,2025-04-11
Star Wars: Episode V - The Empire Strikes Back,,,2025-04-11
Avatar,Disney+,"Apple Tv, Microsoft, Prime Video, Vudu",2025-04-11
